"gameKey","college","minutes","athlete","fieldGoalsMade","fieldGoalsAttempted","threePointersMade","threePointersAttempted","freeThrowsMade","freeThrowsAttempted","offensiveRebounds","defensiveRebounds","totalRebounds","assists","turnovers","steals","blockedShots","personalFouls","pointsScored"
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","MD Eastern Shore",36,"Troy Snyder",4,9,0,1,0,2,6, 6,12,1,2,1,1,4,8
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","MD Eastern Shore",31,"Issac Smith III",3,7,1,4,3,4,0, 2,2,3,3,1,0,3,10
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","MD Eastern Shore",9,"Louis Bell",0,3,0,2,0,0,0, 1,1,0,2,1,0,1,0
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","MD Eastern Shore",36,"Kyree Jones",1,9,0,5,0,0,1, 2,3,1,2,2,0,2,2
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","MD Eastern Shore",2,"Ishaq Pitt",0,0,0,0,0,0,0, 0,0,0,0,0,0,1,0
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","MD Eastern Shore",13,"Francis Ezeiru",1,3,0,0,1,2,3, 1,4,0,0,0,0,1,3
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","MD Eastern Shore",4,"Travis Trim",0,0,0,0,0,0,0, 0,0,1,0,0,0,0,0
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","MD Eastern Shore",37,"Hakeem Baxter",9,19,1,2,9,10,0, 3,3,1,3,1,0,1,28
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","MD Eastern Shore",9,"Iman Johnson",0,0,0,0,0,0,0, 1,1,0,1,0,0,2,0
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","MD Eastern Shore",1,"Devon Walker",0,0,0,0,0,0,0, 0,0,0,1,0,0,1,0
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","MD Eastern Shore",22,"Shane Randall",2,2,0,0,4,4,2, 2,4,0,1,1,1,4,8
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","UMBC",18,"Brett Roseboro",2,3,0,0,0,0,1, 3,4,1,1,1,0,2,4
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","UMBC",7,"Chase Plummer",1,4,0,1,0,0,0, 1,1,1,1,0,0,1,2
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","UMBC",20,"Joey Getz",0,3,0,2,0,0,0, 3,3,1,4,0,0,0,0
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","UMBC",30,"Quentin Jones",4,8,1,2,4,4,0, 2,2,3,0,3,0,3,13
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","UMBC",28,"Malik Garner",4,4,1,1,2,3,2, 3,5,1,2,0,0,2,11
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","UMBC",10,"Aaron Morgan",0,1,0,1,0,0,0, 1,1,0,1,0,0,0,0
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","UMBC",5,"Will Darley",0,2,0,2,0,0,1, 1,2,1,0,0,0,1,0
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","UMBC",26,"Rodney Elliott",4,10,1,3,1,2,0, 2,2,3,5,0,0,3,10
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","UMBC",12,"Devarick Houston",0,2,0,1,0,0,1, 0,1,0,1,0,3,4,0
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","UMBC",24,"David Kadiri",10,13,0,0,1,1,2, 1,3,0,0,0,0,5,21
"http://sports.yahoo.com/ncaab/maryland-eastern-shore-hawks-umbc-retrievers-201312020346","UMBC",20,"Charles Taylor, Jr.",1,3,1,2,0,2,1, 2,3,1,1,1,0,0,3
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Florida",33,"Patric Young",6,10,0,0,5,7,3, 4,7,1,1,2,1,2,17
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Florida",35,"Scottie Wilbekin",6,14,2,5,1,2,0, 3,3,2,3,2,0,3,15
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Florida",24,"Will Yeguete",1,6,0,0,1,2,2, 0,2,0,0,1,0,2,3
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Florida",37,"Casey Prather",8,13,0,0,3,5,4, 3,7,3,5,0,1,1,19
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Florida",24,"Dorian Finney-Smith",1,3,0,1,1,1,1, 5,6,0,6,0,0,4,3
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Florida",6,"Jacob Kurtz",0,0,0,0,0,0,0, 0,0,0,1,0,0,1,0
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Florida",39,"Michael Frazier II",3,5,1,3,0,0,0, 5,5,2,0,2,0,1,7
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Florida",2,"DeVon Walker",0,0,0,0,0,0,0, 0,0,0,0,1,0,0,0
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Connecticut",17,"Lasan Kromah",0,3,0,2,1,2,1, 3,4,2,3,0,0,0,1
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Connecticut",11,"Tyler Olander",0,1,0,1,0,0,0, 0,0,0,0,0,0,5,0
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Connecticut",35,"Shabazz Napier",9,15,5,8,3,3,2, 2,4,2,3,3,0,3,26
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Connecticut",22,"Niels Giffey",3,5,2,3,0,0,0, 1,1,0,1,0,0,1,8
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Connecticut",32,"Ryan Boatright",2,8,2,3,3,4,0, 3,3,4,3,1,0,0,9
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Connecticut",37,"DeAndre Daniels",6,10,2,4,0,0,3, 4,7,1,2,2,1,2,14
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Connecticut",15,"Omar Calhoun",1,5,0,3,0,0,0, 2,2,1,2,0,0,0,2
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Connecticut",11,"Phillip Nolan",1,3,0,0,0,0,0, 1,1,0,0,0,1,5,2
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Connecticut",17,"Amida Brimah",1,2,0,0,1,2,1, 0,1,0,0,0,1,1,3
"http://sports.yahoo.com/ncaab/florida-gators-connecticut-huskies-201312020129","Connecticut",3,"Kentan Facey",0,1,0,0,0,0,0, 0,0,0,0,0,0,1,0
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","McNeese St.",27,"Ledrick Eackles",7,17,2,8,5,6,1, 4,5,4,4,4,0,2,21
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","McNeese St.",14,"Brandon Regis",0,4,0,3,0,0,0, 1,1,4,0,0,0,1,0
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","McNeese St.",23,"Adrian Fields",4,9,2,6,1,1,2, 1,3,0,0,1,0,0,11
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","McNeese St.",34,"Kevin Hardy",6,10,3,4,2,2,2, 4,6,1,3,1,1,3,17
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","McNeese St.",25,"Craig McFerrin",0,4,0,0,0,0,1, 3,4,0,2,0,0,1,0
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","McNeese St.",18,"Shaun Johnson",2,8,2,6,0,0,0, 2,2,1,0,0,0,1,6
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","McNeese St.",5,"Jordan Wells",0,1,0,1,0,0,0, 0,0,0,0,0,0,1,0
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","McNeese St.",25,"Austin Lewis",0,0,0,0,0,0,1, 0,1,1,0,1,2,3,0
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","McNeese St.",7,"Pete Kpan",0,0,0,0,0,0,0, 1,1,0,0,0,0,2,0
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","McNeese St.",14,"Jamaya Burr",0,3,0,3,1,4,0, 0,0,1,1,0,0,0,1
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","McNeese St.",3,"Lance Potier",0,2,0,1,0,0,1, 1,2,0,0,0,0,1,0
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","McNeese St.",5,"Andrija Milovanovic",1,3,1,2,0,0,0, 0,0,0,0,0,0,0,3
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","SMU",24,"Nick Russell",4,6,1,3,0,0,0, 3,3,4,1,0,1,0,9
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","SMU",18,"Shawn Williams",1,5,0,1,1,2,1, 2,3,0,1,1,1,1,3
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","SMU",11,"Crandall Head",2,2,1,1,1,2,0, 3,3,2,1,0,0,0,6
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","SMU",17,"Markus Kennedy",2,6,0,1,2,2,1, 4,5,1,1,2,0,1,6
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","SMU",25,"Nic Moore",5,6,5,5,0,0,1, 2,3,3,2,1,0,1,15
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","SMU",14,"Cannen Cunningham",2,3,0,0,4,4,0, 4,4,2,0,0,1,1,8
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","SMU",2,"Kevin Dunleavy, Jr.",1,1,0,0,0,0,0, 0,0,0,0,0,0,0,2
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","SMU",22,"Ryan Manuel",4,8,0,0,0,0,1, 4,5,4,1,0,1,4,8
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","SMU",14,"Sterling Brown",1,3,1,1,2,2,1, 5,6,0,0,1,0,1,5
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","SMU",18,"Keith Frazier",3,4,2,2,0,0,0, 1,1,1,3,0,0,1,8
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","SMU",20,"Ben Moore",6,7,0,0,0,1,2, 4,6,5,1,1,0,1,12
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","SMU",11,"Yanick Moreira",2,3,0,0,0,0,1, 1,2,1,2,0,0,0,4
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","SMU",2,"Jean-Micheal Mudiay",0,2,0,0,0,0,0, 0,0,0,0,0,0,0,0
"http://sports.yahoo.com/ncaab/mcneese-state-cowboys-smu-mustangs-201312020515","SMU",2,"Jonathan Wilfong",1,1,0,0,0,0,0, 0,0,0,0,0,0,0,2
"http://sports.yahoo.com/ncaab/auburn-tigers-iowa-state-cyclones-201312020277","Auburn",32,"KT Harrell",6,16,3,7,4,4,0, 7,7,0,3,1,1,1,19
"http://sports.yahoo.com/ncaab/auburn-tigers-iowa-state-cyclones-201312020277","Auburn",33,"Chris Denson",8,17,0,3,11,13,1, 7,8,1,1,1,0,1,27
